,ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
0,1,朝阳双井广渠路66号百环家园,116.45868246475776,39.88943765840145,58223,558.0,95.84,2,5,西南,19.0
1,2,朝阳望京望京街望京西园三区,116.46814715512227,39.99861767374033,61495,535.0,87.0,1,3,南,21.0
2,3,朝阳小红门朝阳区东南三环小红门路（和谐苑南侧）朝阳·中建星光里,116.45215361637808,39.838653412577465,80000,560.0,70.0,2,5,南北,
3,4,朝阳十里堡十里堡南里中路都会华庭,116.4964639969657,39.9119062688326,57851,549.0,94.9,2,5,东南,23.0
4,5,朝阳双井百子湾路32号苹果社区(南区),116.46496063442537,39.89741054947901,79719,566.0,71.0,2,4,北,20.0
5,6,海淀西北旺黑龙潭路保利西山林语,116.2090479754074,40.037912138146005,62507,563.0,90.07,2,5,南北,14.0
6,7,朝阳劲松东三环南路54号华腾园,116.45911796895783,39.886121532613295,67360,609.0,90.41,2,5,东南,23.0
7,8,大兴亦庄四海路1号北京城建海梓府,116.47806830060684,39.75633537559031,68632,559.0,81.45,2,5,南北,8.0
8,9,朝阳双井广渠路36号首城国际,116.46203947344146,39.89009919671778,88520,798.0,90.15,2,4,西南,14.0
9,10,朝阳亚运村慧忠路安慧里(一区),116.40788418239075,39.99162771274623,72683,468.0,64.39,2,4,南北,33.0
10,11,朝阳潘家园松榆北路34号松榆西里,116.45927214432476,39.874140837483814,57752,339.0,58.7,2,4,南,30.0
11,12,丰台草桥北甲地路2号玺萌鹏苑,116.3561951899531,39.851138037078265,57125,530.0,92.78,2,5,东,21.0
12,13,朝阳望京阜通西大街望京西园四区,116.46581788779099,39.99549805550331,58427,520.0,89.0,2,4,西南,26.0
13,14,海淀公主坟玉渊潭南路普惠南里,116.30074885619456,39.91164766497628,85025,528.0,62.1,2,4,南,41.0
14,15,通州武夷花园芙蓉东路1号京贸国际城,116.67845898848641,39.91794789798774,50521,456.0,90.26,2,4,南,11.0
15,16,西城广安门外广安门外大街荣丰2008,116.33055028494138,39.89329497631322,73207,450.0,61.47,1,3,南,18.0
16,17,朝阳十八里店东四环十八里店北桥正东800米云筑二期三期,116.47855612845665,39.84718177985514,75061,623.0,83.0,1,5,南北,
17,18,海淀四季青燕桥金路德顺园,116.25048518306728,39.95267431772331,57472,500.0,87.0,4,8,南北,12.0
18,19,丰台成寿寺方庄南路四方景园(三区),116.43408738516767,39.85491745793068,55171,518.0,93.89,2,4,南,18.0
