ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,天府新区华阳万东路80号附1号滨江和城,104.08183492908422,30.49083588971344,17662,164.8,93.31,3,7,西,6.0
2,锦江三圣乡栀子街1097号人居东城花汇,104.15047235985745,30.590805591628143,19348,178.0,92.0,3,6,北,4.0
3,成华动物园双荆路2号招商雍华府(2期),104.09624305054464,30.712127211317743,17914,166.6,93.0,3,6,南,9.0
4,龙泉驿商业片区水岸二路77号保利云上,104.2494431306529,30.58864529607742,17968,221.0,123.0,4,8,南,
5,成华万年场双成二路39号华润二十四城1期,104.11641435309556,30.65189850436892,20112,180.0,89.5,3,6,北,16.0
6,双流华府顺兴路一段468号南湖逸家,104.01410407447813,30.632641662328545,19091,126.0,66.0,3,6,北,7.0
7,新都大丰华美东街132号汇融悉尼湾库吉岛,104.06311456431736,30.768414968201206,12461,118.0,94.7,3,6,北,10.0
8,龙泉驿恒大绿洲经开区南二路2817号、南三路1018号美的东樾玖院,104.17394816600674,30.558307063104643,15574,190.0,122.0,4,8,东北,
9,龙泉驿恒大绿洲车城西五路99号金茂悦龙山,104.16888072024024,30.572063441271,12942,110.0,85.0,3,6,南,9.0
10,"双流华府华府大道三段268号,华府大道三段869号万锦城",104.02054809184358,30.49792190619516,16262,127.0,78.1,3,6,南,8.0
11,成华成渝立交万宇路1号荣盛紫提东郡,104.1568218118768,30.627498984717835,18356,152.0,82.81,3,7,东南,9.0
12,龙泉驿大面至善南路199号首钢东境风华,104.20499376657249,30.58377236045124,17046,150.0,88.0,3,6,南,
13,"高新区世纪城世纪城路996号,天府大道中段177号天鹅湖北苑",104.06868177018376,30.559357481393324,19604,198.0,101.0,4,8,南,6.0
14,金牛金牛周边天龙南一路118号北星城,104.08806222759372,30.7721652832248,14266,138.0,96.74,4,8,东,6.0
15,郫都犀浦学园路285号万科理想城三期星河,103.97913418401475,30.756486839536585,15715,135.0,85.91,3,7,东南,5.0
16,"郫都犀浦两河东路319号,天辰路190号万科城臻园",103.97791133635474,30.74074217517765,15766,142.0,90.07,3,7,西南,5.0
17,龙泉驿大面新建路118号百悦城四期,104.18158459193654,30.57859133567241,12944,120.0,92.71,3,7,西,14.0
18,天府新区南湖美岸路一段66号中信城左岸,104.0348327383496,30.490714742587222,17043,180.0,105.62,3,7,南,9.0
