ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,雨花体育新城劳动东路821号明昇壹城,113.04569181499468,28.164135350179137,13767,125.0,90.8,3,6,南,6.0,0,,高层,18.0
2,岳麓梅溪湖南近湖七路32号卓越浅水湾,112.88026936162778,28.17907538234886,13034,122.8,94.22,3,6,南北,5.0,1,满五年,低层,33.0
3,岳麓保利麓谷林语桐梓坡西路408号保利麓谷林语,112.87219986837307,28.22672304709192,9653,129.0,133.64,4,8,南北,11.0,1,满五年,高层,33.0
4,岳麓金星北路西二环与华安路交汇处龙湖舜山府,112.91979230320408,28.249971210668896,15487,175.0,113.0,3,7,南,,0,,,
5,岳麓梅溪湖北东方红路288号旭辉御府,112.86381773264084,28.193063602033256,11967,115.0,96.1,3,6,南,11.0,0,,中层,32.0
6,"岳麓市政府杜鹃路,近杜容路盛世耀凯",112.9334358250022,28.23176683571211,10063,129.8,129.0,3,7,南北,5.0,0,,中层,27.0
7,天心省政府黑石铺路北辰中央公园(CDEF区),112.9676513755382,28.103854342604,9881,128.0,129.55,4,8,南,10.0,0,,低层,16.0
8,岳麓观沙岭北二环与金星路交汇处东北角万科森林公园,112.93280872848688,28.264433111345244,14000,161.0,115.0,3,7,南,,0,,,
9,天心省政府新韶西路288号鑫远御文台,112.96556965581752,28.125776117550004,10717,142.0,132.5,4,8,南北,8.0,0,,高层,29.0
10,雨花体育新城长沙大道789号阳光城尚东湾,113.05398726865012,28.176999852156307,11141,113.0,101.43,3,6,南北,5.0,0,,低层,44.0
11,雨花井湾子湘府东路一段986号远洋红星长沙天铂,113.04615595761818,28.126131419948354,10286,108.0,105.0,3,7,南,,0,,,
12,岳麓洋湖湿地公园许家洲路106号兰亭湾畔(一期),112.94023582175652,28.138626184012907,12578,155.0,123.24,4,8,南,7.0,1,,低层,28.0
13,芙蓉汽车东站桐西路辉煌国际城(二期),113.04119147417664,28.20783831739007,11611,148.0,127.47,4,8,南北,6.0,1,满五年,中层,30.0
14,岳麓金星北路金星路与长望路交会处越秀栖山悦府,112.92399643068836,28.269869699198008,13493,170.0,126.0,4,8,南,,0,,,
15,岳麓银盆岭岳麓大道保利天禧(D区),112.9536881079556,28.22705886758314,14964,139.0,92.89,3,6,南,4.0,1,满二年,低层,46.0
16,望城望城新区政府普瑞大道与沿河路交汇处澳海望洲府(新房),112.84485139095425,28.296389534697784,6989,124.0,177.44,5,10,南,,0,,,
17,岳麓梅溪湖北东方红南路369号梅溪鑫苑名家,112.8594533294405,28.19263737583016,11609,105.0,90.45,3,6,南北,6.0,1,满五年,高层,33.0
18,雨花体育新城劳动东路1299号万科魅力之城,113.06156945407238,28.16323281802059,12659,135.0,106.65,3,7,东,11.0,1,满五年,高层,34.0
19,岳麓洋湖湿地公园虹山路与潇湘南大道交汇处保利长交锦上,112.92232523185504,28.12961884091196,12477,131.0,105.0,3,7,南,,0,,,
20,雨花时代阳光大道万家丽南路一段226号恒生碧水龙庭,113.02797697303492,28.090357023595363,12978,108.0,83.22,3,6,南北,11.0,1,,低层,24.0
21,岳麓洋湖湿地公园福祥路109号北大资源理想家园,112.93988817496223,28.126994504416228,12286,110.0,89.54,3,6,南,7.0,0,,低层,20.0
22,望城金星北月亮岛街道盛腾路33号（银星路与盛腾路交叉口）乐万邦·康桥悦城,112.9229485715886,28.283673321564216,11479,125.0,108.9,3,7,南,,0,,,
23,岳麓梅溪湖南梅溪湖路276号梅溪湖金茂湾(一期),112.87784052477778,28.181348491591937,13825,195.8,141.63,4,8,南北,6.0,1,满五年,中层,46.0
24,开福湘江世纪城湘江北路湘江世纪城咏江苑,112.97305973922424,28.26312469422905,10614,105.0,98.93,3,6,南北,13.0,0,,低层,33.0
25,望城月亮岛月亮岛路越秀湘江星汇城(一期),112.92580119920056,28.2939057507156,11390,158.0,138.72,4,8,东南,5.0,1,,高层,18.0
26,岳麓市政府谷丰南路419号湘腾琴岛,112.92121377616492,28.21873180973727,13125,109.0,83.05,3,6,南北,6.0,1,,高层,30.0
27,长沙县长沙县周边福元路与山月路交汇处保利开福双盘和光北中心,113.27851221811,28.111548087042294,11575,125.0,108.0,3,7,南,,0,,,
