ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,黄埔科学城开达路保利罗兰国际,113.48449052813616,23.17498563558565,35555,310,87.19,3,6,南北,6.0
2,番禺万博兴南大道368号万科欧泊,113.35085960567933,23.01311648477927,39220,370,94.34,3,7,南北,8.0
3,番禺万博南村镇锦绣路138号锦绣香江山水华府(二期),113.3366546097344,22.99551170192306,40943,370,90.37,3,6,北,15.0
4,番禺万博迎宾大道广地花园,113.33187013605165,23.02204238396742,24720,220,89,3,7,南北,9.0
5,番禺南村镇南村东线路160号时代倾城(番禺),113.39397434298989,23.00095031755631,24293,230,94.68,3,6,南北,9.0
6,番禺石楼东金枫路智联汽车小镇,113.50087967264562,23.02150020489257,21787,210,96.39,3,7,南,6.0
7,番禺石楼连海路凯德山海连城,113.50502592303754,23.021449463044657,17392,160,92,3,7,南北,5.0
8,海珠东晓南锦丽街18-102号锦丽居,113.28551869981695,23.074570928970587,39108,438,112,3,7,东南,17.0
9,海珠昌岗宝岗大道928号翠城花园,113.26563944484643,23.085747650174746,51429,468,91,3,6,南北,18.0
10,白云金沙洲金沙洲路中粮万科金域蓝湾,113.20663751405166,23.159491168140708,32872,280,85.18,3,6,东,13.0
11,天河沙河广州大道中1432号中强雅苑,113.30883669227845,23.153087493429204,42554,410,96.35,3,6,东南,17.0
12,花都镜湖大道镜湖大道18号豪利花园,113.24504039687866,23.36320798875848,15419,152,98.58,4,8,南,8.0
13,白云金沙洲浔峰山东路御金沙,113.19851612655391,23.168071349992296,35583,395,111.01,3,7,南,7.0
14,番禺金山谷兴学路保利悦公馆,113.34367108472446,22.978604363793238,33330,300,90.01,3,7,南北,2.0
15,越秀东湖大沙头三马路东山水恋,113.27951231564985,23.119393913802078,83125,798,96,3,7,南北,19.0
16,增城永和新新大道中合景花漫里,113.59418973576767,23.197327721078267,9425,81,85.95,3,6,南北,9.0
17,南沙蕉门市南大道星河东悦湾,113.52660183810875,22.813504499670582,24529,260,106,3,7,东南,5.0
18,白云同和蟾蜍石北路37号时代花生(白云),113.2788911164056,23.121482949471496,41792,350,83.75,3,5,南,10.0
19,番禺大石沿江东路22号华筑翡翠湾,113.30688069232394,23.03267463844143,29421,307,104.35,3,7,南,3.0
20,黄埔文冲广新路31号万科城市之光,113.45817126793305,23.10265642741714,26380,230,87.19,3,7,南,4.0
