ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,"萧山钱江世纪城振宁路,近金鸡路万科大家世纪之光",120.25250261806741,30.21664687981609,40383,325,80.48,3,6,南,7.0
2,西湖西湖三墩振华路1号首开国风美域,120.08722996226223,30.319730710303087,35521,315,88.68,3,7,南,8.0
3,上城笕桥同协路498号杰立潮正府,120.21168398688586,30.30855618550975,35057,312,89,3,7,南,
4,"萧山开发区博奥路,近建设四路嘉宸天誉名轩",120.23804690908217,30.21231770100778,44623,400,89.64,3,7,南,6.0
5,"萧山开发区建设一路,近宁税路融创望海潮",120.27470070963409,30.196521991716672,32521,280,86.1,3,7,南,4.0
6,"滨江长河滨康路,近聚才路保利天汇",120.19457280559602,30.18480503194695,55014,530,96.34,3,7,南北,3.0
7,拱墅东新新北街与永福桥路交叉口杭州新天地,120.1778914208377,30.330147621675547,23256,300,129,3,7,南,
8,余杭未来科技城水城北路欧美金融城西溪丽晶,120.00009697519351,30.284121185761947,41197,365,88.6,3,6,南,8.0
9,"临平临平北北沙西路,近星河路金都夏宫(公寓住宅)",120.26265816264596,30.43132625981599,17708,159,89.79,3,6,南,13.0
10,"萧山北干金城路,近风情大道中国铁建江南国际城",120.23432119711717,30.191909469748786,41800,368,88.04,3,6,南,7.0
11,西湖西湖三墩庄墩路万科融信西雅图,120.05299191409195,30.333252421642953,36893,330,89.45,3,7,南,5.0
12,临平星桥东至星源路西侧绿地，南至星隆路，西至打铁桥港防护绿化地，北至星灵路。杭颂星澜府,120.26053111522677,30.38808266503597,25214,295,117,4,8,南,
13,余杭未来科技城溪望路阳光城未来悦,119.98418381679906,30.270941316910083,41834,376,89.88,3,7,南,2.0
14,萧山北干西陵路30号万科金辰之光,120.2188664312684,30.17985383087423,35033,310,88.49,3,7,南,7.0
15,"上城九堡科技园科兴街,近九福路昆盛肖邦",120.26621380785787,30.326443899423907,25952,229,88.24,3,6,南,7.0
16,西湖西湖三墩振华路10号中旅紫金名门,120.0807817974928,30.32049005243566,36603,315,86.06,3,6,南,8.0
17,上城九堡科技园学林街与松华路交叉口（地铁1号线下沙西站直接距离约400米）杭臻源筑,120.30719021207153,30.312222772708818,37524,394,105,3,7,南,
18,"上城丁桥天都路,近华鹤街金地格林格林",120.235579461789,30.372984731312407,23802,205,86.13,3,6,南,9.0
19,余杭闲林天目山西路融创金成江南府(公寓住宅),119.96247021668411,30.24585313224397,23034,207,89.87,3,7,南,4.0
20,上城艮北新城九和路516号地铁绿城杨柳郡,120.23511816865579,30.303193825732333,51566,466,90.37,3,7,南,7.0
21,西湖西湖三墩民意街45号都市水乡水秀苑,120.08791865315233,30.32635245756159,23730,220,92.71,3,5,南北,18.0
22,钱塘金沙湖1号大街与12号大街交汇处（银泰百货以东直线距离约1km）兴耀月琉璃,120.04822425244505,30.241832500900532,26000,312,120,4,8,南,
23,上城九堡客运站仁爱路219号金雅苑,120.27775955278466,30.309650828922095,23826,210,88.14,3,6,南北,15.0
24,"余杭闲林天目山西路,近闲富路雅居乐国际花园",119.97570122345975,30.23346512865832,20669,183,88.54,3,6,南,8.0
25,"临平乔司翁乔路,鑫业路金地艺境",120.29440110841263,30.363328136041552,25280,219,86.63,3,6,南,9.0
26,余杭闲林云睦街时代天境,119.99869495774405,30.23275907606272,19482,190,97.53,3,7,南,1.0
27,滨江长河滨盛路2271号半岛国际,120.18970495681221,30.20376314790936,42046,365,86.81,2,5,南北,10.0
28,钱塘下沙江滨6号大街和3号大街西北交汇处融创·杭曜之城,120.33862647603902,30.30379725243425,30000,315,105,3,7,南,
29,临平星桥星都路广厦天都城滨沁公寓,120.24661875546265,30.390841626147107,17367,155,89.25,3,6,南,5.0
30,"西湖之江度假区珊瑚沙路,近碧波路华润新鸿基之江九里(公寓住宅)",120.08948824790508,30.16806085630205,38015,340,89.44,2,5,南北,9.0
31,上城丁桥长睦路501号新城红郡(公寓住宅),120.22426533365743,30.373476513615287,22500,198,88,3,6,南,7.0
32,钱塘大江东新港路滨江华成大江之星,120.48749352520547,30.274834760376304,15988,140,87.57,3,7,南,7.0
33,拱墅拱墅三墩三墩路328号都市水乡水映苑,120.09131407379705,30.3286196617105,26013,210,80.73,2,5,南,16.0
34,滨江彩虹城火炬大道725号盛元慧谷(公寓住宅),120.16020888438946,30.191614262019606,35569,340,95.59,2,5,南,17.0
35,"钱塘大学城北银海街,近千帆路中国铁建保利像素",120.38060566368331,30.334604627354654,23657,210,88.77,3,7,南,5.0
