ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,栖霞仙林湖纬地路28号金地湖城艺境,118.97524615589626,32.12932098905302,21366,205,95.95,3,6,南北,9.0
2,栖霞仙林湖茂民路万达茂御湖仕家三期,118.98088188845054,32.124519009649084,20625,198,96,3,6,南,5.0
3,江宁科学园金东街与上元南路交汇处中天云来,118.85392578262955,31.95106918605377,27955,246,88,3,6,南北,
4,浦口高新区侨康路16号新城花漾紫郡,118.70724796436821,32.1871173401366,20744,198,95.45,3,6,南北,6.0
5,建邺建邺万达广场集庆门大街219号星雨华府,118.73055831122531,32.02942794164323,30299,400,132.02,3,7,东北,10.0
6,栖霞迈皋桥来仪街2号瑞福城凤仪东园,118.8454223022919,32.11743256917377,18069,159,88,3,5,南,6.0
7,江宁将军大道江宁开发区明城大道与秦淮路交汇处铂萃云湾,118.80250185219032,31.957351050643425,36316,345,95,3,7,南,
8,栖霞仙林湖经天路融筑儒林花园,118.96402439121408,32.12803718294967,29091,288,99,3,7,南,4.0
9,栖霞迈皋桥怡静路1号招商1872依云华府,118.82777550223219,32.125030443454634,26803,235,87.68,3,6,南,7.0
10,江宁秣陵双龙大道地铁3号线和风路站北800米紫京四季雅园,118.83430260170375,31.861075447117777,31373,320,102,3,7,南,
11,浦口江浦街道城南河路95号保利西江月,118.65254275743158,32.04257972369171,19398,170,87.64,3,6,南,6.0
12,栖霞燕子矶徐家村街17号融创玉兰公馆二期,118.82555865634113,32.13941455886701,29812,316,106,3,7,南北,4.0
13,江宁九龙湖清水亭东路9号万科金域蓝湾,118.8272805063973,31.9219868876076,30186,265,87.79,3,6,南北,9.0
14,鼓楼龙江郑和南路8号恒盛金陵湾,118.7277418334022,32.071144891481275,54481,439,80.58,2,4,南,9.0
15,栖霞迈皋桥主城燕子矶-滨江-万象天地北侧华发·四季雅筑,118.83221043306465,32.13958225371801,30304,300,99,3,7,南,
16,栖霞摄山星城文瑞路6号华侨城翡翠天域星园一期,118.99314952190684,32.150789421806365,12500,115,92,3,6,南北,3.0
17,栖霞燕子矶韩桥路8号保利国际社区(一期),118.82207990042981,32.14156437425193,30191,285,94.4,3,6,南北,24.0
18,栖霞迈皋桥燕园路与寅春西路交叉口保利·燕璟和颂,118.82207990042981,32.14156437425193,32111,350,109,3,7,南,
19,江宁九龙湖铺岗街28号骏景华庭,118.82936254474625,31.92047344837659,24654,203,82.34,2,5,南北,8.0
20,建邺奥南莲池路50号莲花新城嘉园,118.71082381182676,31.967251080163088,17219,153,88.86,3,6,南北,10.0
21,浦口桥北珍珠南路2号明发城市广场(商住楼),118.68099102325043,32.10707472633945,8835,91,103,3,7,南北,13.0
22,栖霞燕子矶徐家村街19号紫御东方(一期),118.82862268531599,32.1396442471917,26310,230,87.42,3,5,南,4.0
23,栖霞尧化门新城路19号华润幸福里,118.88565560216583,32.13232166228714,20349,180,88.46,3,6,南,7.0
24,雨花台小行雨花台区赛虹街道丁树路以东、安凤路以南越秀天和,118.77334634072496,32.002457637536594,43487,474,109,3,7,南,
25,栖霞燕子矶徐家村街15号融创玉兰公馆一期,118.82332719572615,32.13929959517632,31149,269,86.36,3,7,南,6.0
26,鼓楼五塘广场幕府东路石城家园,118.78047501904506,32.11047840078656,24455,269,110,3,6,南北,24.0
27,浦口桥北浦洲路172号苏宁滨江雅园,118.75622619665333,32.153977141383365,14069,123.8,88,2,5,南北,2.0
28,栖霞仙林湖广志路19号新城香悦澜山,118.96974398692812,32.12861181718302,21428,190,88.67,3,6,南,5.0
29,秦淮光华门星海路8号万达紫金明珠,118.85562099487414,32.01964427870975,20012,170,84.95,2,5,南北,18.0
30,"浦口江浦街道七里路,近202县道美麟香漫山",118.64098309947458,32.087091717698335,17214,168,97.6,3,6,南北,5.0
31,雨花台铁心桥数字大道以北、迎江路以西保利荷雨瑧悦,118.71218642590834,31.983213175542648,36967,329,89,3,6,南,
32,浦口高新区朗山路2号朗诗未来街区(西区),118.70473752929239,32.18752776705195,17472,152,87,3,6,南北,9.0
33,栖霞迈皋桥门坡街17号招商1872依云和府,118.82473133731162,32.140797648109114,23276,270,116,3,7,南北,6.0
34,秦淮月牙湖苜蓿园大街66号梅花山庄,118.82790693523198,32.033914665067165,31097,430,138.28,3,7,南北,26.0
35,栖霞晓庄和燕路与宜春街交汇处保利·国贸璟上,118.82207990042981,32.14156437425193,32353,330,102,3,7,南北,
36,栖霞晓庄迈尧路611号乐居雅花园(二期),118.84222472665365,32.13443842244556,20315,265,130.45,3,7,南北,12.0
