ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,浦东三林永泰路630弄永泰花苑,121.52400220447963,31.14369063907894,48567,405,83.39,2,5,南北,18.0
2,徐汇徐家汇宛平南路255弄1-35号徐家汇花园,121.45332415576843,31.199929888056836,106586,874,82,2,5,南北,21.0
3,奉贤金汇金雄路688弄象屿江湾悦府,121.49576810297881,30.958026678600213,36316,345,95,3,7,南,
4,浦东杨思杨思路860弄世华锦城,121.50679704887757,31.16705994063759,63859,605,94.74,3,5,南北,16.0
5,徐汇徐家汇合宝路30号金巢铂瑞阁,121.47123996085944,31.20622689590104,48164,472,98,3,7,南,8.0
6,"徐汇康健桂平路258弄1-34号,桂平路260弄1-40号,桂平路296弄1-49号桂平小区",121.414910366398,31.165211529888282,53382,337,63.13,2,5,南,30.0
7,"静安大宁俞泾港路11号,平型关路138号,平型关路108弄金赢108创意广场",121.47263835304682,31.273089743769052,37977,355,93.48,3,7,南,6.0
8,闵行古美罗阳龙茗路1458弄蓝色港湾(公寓住宅),121.39293305260472,31.15320215301776,66816,628,93.99,2,5,南,19.0
9,黄浦打浦桥瑞金二路411号日月光伯爵居,121.47410627408065,31.212956476619944,63248,460,72.73,2,5,南,6.0
10,闵行七宝七莘路3333弄万科城市花园,121.34957597784344,31.16465185470552,61227,595,97.18,3,7,南,30.0
11,浦东东昌路站东方路8号良丰大厦,121.52557792217469,31.248923839702424,51610,449,87,2,5,南北,14.0
12,"浦东陆家嘴张杨路158,188,228号汤臣商务中心",121.51840603064412,31.230728903991558,43007,333,77.43,2,6,南北,27.0
13,浦东临港新城安茂路105弄上实望海,121.94735418793323,30.925720565993366,30000,360,120,3,7,南,
14,浦东三林三林路1662弄1-173号三林安居苑,121.53264120856909,31.15153603688736,51487,329,63.9,2,4,南北,24.0
15,黄浦人民广场南苏州路933号怡水豪庭,121.48124861135996,31.246644051287902,44211,420,95,3,7,南北,5.0
16,静安南京西路新闸路831号丽都新贵,121.46635623312389,31.240784636643394,51778,466,90,2,6,南,9.0
17,黄浦人民广场九江路619号中福大厦,121.48494927073885,31.239788528975343,35508,490,138,3,7,南北,11.0
18,浦东北蔡锦绣路3088弄大华锦绣华城十二街区,121.54584710804072,31.18801748001116,71367,658,92.2,2,6,南北,18.0
19,静安新客站太阳山路188弄中海万锦城二期,121.46724079455954,31.25541782154828,52223,423,81,3,7,南,7.0
20,"普陀长征真光路1058弄,真光路962弄真源小区",121.38746524662659,31.24556804408995,58990,628,106.46,3,6,南,24.0
21,徐汇康健桂平路67弄月季园,121.42832485240903,31.17037034954408,52502,394.5,75.14,3,5,南北,29.0
22,浦东南码头临沂路81弄临沂八村(81弄),121.52192496281836,31.20275420418239,58399,315,53.94,2,4,南,36.0
23,"普陀长征真光路1433弄,梅川路1500弄祥和家园",121.3863809020455,31.25276573395044,49222,452,91.83,2,5,南北,21.0
24,普陀环球港凯旋北路1555弄大华清水湾花园,121.42002998916047,31.233260731600925,80944,858,106,2,5,南,20.0
25,"宝山通河新村通河三村1-3,8-59,63-93,170-202号民悦苑",121.4500715711779,31.340091283116763,48537,398,82,2,4,南,26.0
26,静安芷江西路芷江西路386号五月花都荟贤居,121.46499341383469,31.26284842141018,41150,348,84.57,2,6,南,8.0
