ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,福田百花百花四路2号长城一花园,114.08494835387822,22.55713888589415,81620,750.0,91.89,3,6,南,35.0,1,满五年,低层,17.0
2,福田百花百花二路31号南天二花园,114.0886610275981,22.553678440643655,91490,860.0,94.0,3,6,南北,29.0,1,满五年,低层,19.0
3,盐田盐田永安路28号东港印象,114.2460013829018,22.594810683256533,43217,380.0,87.93,3,7,南北,14.0,0,,低层,19.0
4,罗湖布心深圳地铁5号线布心地铁站D约200米出口京基·天韵府,114.13500051689164,22.58325980402817,66000,561.0,85.0,2,5,东,,0,,,
5,龙岗龙岗中心城龙河路19号东方明珠城,114.24926447005856,22.72173924791632,30858,292.0,94.63,3,7,北,20.0,1,满五年,高层,32.0
6,"龙岗龙岗中心城坪西路,近仙人岭路水岸新都(二期)",114.27505924422196,22.752023732155653,29500,276.7,93.78,4,8,南,17.0,0,满五年,低层,9.0
7,龙岗南联龙岗大道(龙岗段)6001号海航国兴城,114.25876025792772,22.726149239312992,31690,275.0,86.78,3,6,南北,8.0,1,满五年,低层,33.0
8,罗湖翠竹文锦北路2088号洪湖东岸,114.11832553986544,22.571516740762984,54400,524.5,96.41,3,7,南北,19.0,0,,高层,27.0
9,龙华民治上塘路8号金地上塘道(一期),114.01608099083062,22.63677280738197,58069,520.0,89.55,3,7,南北,14.0,1,,高层,24.0
10,福田福田中心区深南大道2001号嘉麟豪庭,114.06185148447489,22.5416147874132,53800,726.3,135.0,3,7,南北,21.0,0,,中层,29.0
11,罗湖莲塘罗沙路4089号新世界四季御园,114.15382921479052,22.55698679086382,53711,435.0,80.99,3,6,南,10.0,1,,高层,44.0
12,宝安坪洲海城路坪洲新村(二三期)二三期,113.85677422548228,22.563960611146637,16739,140.6,84.0,2,5,南,6.0,1,满五年,中层,27.0
13,坪山坪山横坪公路东津名座,114.3345610535304,22.685440394430564,17470,145.0,83.0,3,7,南北,11.0,1,满五年,高层,10.0
14,坪山坪山锦龙大道深业东城国际,114.32394244147588,22.683578683298236,27947,226.0,80.87,3,6,东南,8.0,1,满五年,中层,33.0
15,龙华观澜观平路金龙豪苑,114.08371603248604,22.70472935531458,14158,126.0,89.0,3,7,南北,5.0,1,,中层,12.0
16,龙岗大运沙园路76号阳光天健城,114.21540653227338,22.70405758132265,52200,501.4,96.06,3,6,北,14.0,1,满五年,中层,26.0
17,坪山坑梓丹梓大道3033号丹梓龙庭,114.38993381175452,22.74453269514627,18803,158.0,84.03,3,6,南,11.0,1,满五年,低层,28.0
18,龙华梅林关口南坪快速路星河丹堤,114.05086815747087,22.594432713013624,72200,635.0,87.95,3,5,南,16.0,1,满二年,高层,32.0
19,光明光明观光路光明大第,113.93936836191976,22.743109869963455,51900,461.4,88.9,4,8,东北,10.0,1,,高层,32.0
20,福田景田南商报东路15号时代华庭,114.04328900163232,22.54633707818769,61200,599.8,98.0,3,7,西南,24.0,1,满五年,低层,29.0
