ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,"青山建设二路建设四路,近和平大道融创临江府",114.37573165191526,30.63621652614184,18051,172.0,95.29,3,6,南,1.0,0,,低层,34.0
2,江夏东湖高新光谷一路天纵水晶郦都,114.43443414759288,30.434606790764374,11965,115.0,96.12,3,6,南北,9.0,1,满二年,高层,32.0
3,洪山新南湖野芷湖西路10号保利心语(八期),114.3160176123324,30.48182995739756,14899,175.0,117.46,3,7,南,12.0,1,满五年,中层,32.0
4,汉阳鹦鹉鹦鹉大道556-1号天创长江云栖风华,114.2467548584396,30.52175028844168,16504,236.0,143.0,4,8,南,,0,,,
5,江夏东湖高新高新四路旭辉御府,114.44236648232584,30.45520672922024,12617,110.0,87.19,3,6,南北,7.0,0,满五年,低层,34.0
6,洪山新南湖丁字桥南路558号保利中央公馆(G1-G16栋),114.31554764608173,30.495695968692363,14011,133.0,94.93,3,6,南,9.0,1,满二年,中层,34.0
7,洪山光谷东高科园路188号光谷188国际社区,114.51162983193092,30.48563822739777,17454,152.0,87.09,2,5,东南,6.0,1,满二年,低层,24.0
8,汉阳四新兰蕙路与冬书街交汇处城投融创国博城,114.22699185356794,30.51023253642975,15758,156.0,99.0,3,7,南,,0,,,
9,洪山欢乐谷仁和路99号福星惠誉青城华府,114.38275501355189,30.619077373278007,12567,140.0,111.41,3,7,南,13.0,1,满二年,低层,32.0
10,青山建设七路建设大道7号招商一江璟城招商一江璟城(南区),114.39046358023262,30.640059879065205,17102,220.0,128.64,3,7,南北,4.0,1,满二年,中层,46.0
11,硚口武胜路京汉大道370-374号玉带家园,114.25104895172596,30.57453671907978,17144,145.0,84.58,2,5,南北,8.0,1,满二年,低层,33.0
12,汉阳王家湾隆祥街与车友路交汇处东北角（九州通总部旁）银孚汉阳首府,114.19536975161536,30.551388544401583,15472,164.0,106.0,3,7,南,,0,,,
13,洪山白沙洲张家湾路8号保利新武昌,114.29067932351776,30.49734914348961,17805,169.0,94.92,3,6,南,5.0,1,,高层,44.0
14,洪山白沙洲白沙二路22号万科光澜道,114.2676819401992,30.48593591669738,15122,176.0,116.39,3,7,南北,1.0,0,,中层,34.0
15,青山和平大道和平大道1650号绿地派克公馆,114.4137585805604,30.642455451206544,10535,120.0,113.91,3,7,南,8.0,1,满二年,低层,34.0
16,汉阳郭茨口琴台大道与玉龙路交汇处保利庭瑞阅江台(新房),114.195487446468,30.57640930976174,17965,203.0,113.0,3,7,南,,0,,,
17,洪山白沙洲白沙五路7号万科金色城市锦绣苑,114.26233545047084,30.480990513940213,12258,112.0,91.37,3,6,南北,9.0,1,,中层,34.0
18,汉阳钟家村归元寺南路1号远洋东方境世界观8号地块,114.25872204234174,30.545773395281937,19432,249.0,128.14,3,7,南,3.0,1,,高层,55.0
