ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,思明禾祥西路湖滨南路69号厦门电子城,118.0847456054013,24.471718196682385,55556,350.0,63.0,3,6,南北,24.0,1,满二年,高层,7.0
2,思明前埔店上东里1-103号前埔南小区(店上东里),118.1697839018962,24.46946268654885,39166,338.0,86.3,3,6,南北,24.0,0,满二年,低层,7.0
3,思明将军祠文屏巷41-49号文屏花园,118.10200144862095,24.46558675496244,47823,336.0,70.26,3,7,南北,34.0,1,满二年,低层,7.0
4,翔安隧道口刘五店滨海东大道与东界路交叉口东侧保利中交雲上(新房),118.1946571132342,24.568005548249378,35956,320.0,89.0,3,7,南,,0,,,
5,思明东浦路东浦一里23-77号建发花园(三期),118.11930844606172,24.474959575156586,49557,598.0,120.67,3,7,南北,20.0,1,满五年,中层,11.0
6,"湖里嘉园路嘉兴里1-58号,嘉园里1-47号永升新城",118.11025341130508,24.520767974308185,31777,245.0,77.1,2,5,南北,22.0,0,,高层,8.0
7,思明湖滨北路云顶北路与金山中路交叉口东南侧招商湾湖臻境,118.15585629441856,24.505436174917403,66026,515.0,78.0,3,6,南,,0,,,
8,湖里南山南山路161-246号康乐新村二期,118.10573828153008,24.50700901229795,37403,288.0,77.0,2,5,南,28.0,0,,高层,8.0
9,"思明火车站厦禾路913号,湖滨东路2号华星大厦",118.1099378581194,24.472523254561928,39419,358.0,90.82,3,7,南北,28.0,1,满五年,高层,30.0
10,集美杏东路宁海五里32-42号联发杏林湾一号(一期公寓住宅),118.05886289545224,24.561750414224345,26333,340.0,129.12,3,7,南,8.0,0,,中层,41.0
11,思明将军祠阳台山路20-28号阳台山路20-28号小区,118.0975794286435,24.46064100223469,59020,550.0,93.19,4,8,南北,26.0,1,满五年,低层,7.0
12,湖里湖里大道悦华路107-141号悦华公寓,118.10296859830363,24.517976315456377,32785,259.0,79.0,3,6,南北,24.0,1,,高层,6.0
13,翔安翔安新城洪钟大道与洞庭路交叉口东南侧首创禧瑞风华,118.24951938977873,24.56954216084778,32215,480.0,149.0,4,9,南,,0,,,
14,集美杏东路宁海一里33-48号万科金域华府(二期),118.05819233858122,24.566584397333987,25235,320.0,126.81,4,8,南,9.0,0,,低层,42.0
15,思明火车站双涵路16-40号裕康花园,118.11229734529118,24.47610637683824,45333,438.0,96.62,3,7,西南,24.0,1,满五年,低层,7.0
16,集美集美新城杏锦路与杏林北二路交叉口西北侧(地铁1号线杏锦路站2号口)住宅水晶地铁公元(新房),118.05372671866476,24.583127823479984,32143,450.0,140.0,4,8,南,,0,,,
17,湖里嘉园路悦华路217-247号龙腾花园二期,118.11240492687328,24.51802437523231,28100,340.0,121.0,3,6,南,21.0,1,满五年,高层,6.0
