ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,朝阳望京望京街望京西园三区,116.46814715512228,39.998617673740334,63219,550,87,1,1,1,南,21.0,1,,高层,18.0,2,4,10,10,10
2,朝阳双井广渠路66号百环家园,116.45868246475776,39.889437658401455,58223,558,95.84,2,2,1,西南,19.0,1,满五年,低层,28.0,2,4,10,10,10
3,朝阳小红门朝阳区东南三环小红门路（和谐苑南侧）朝阳·中建星光里,116.45286895127721,39.83756507508316,80000,560,70,2,2,1,南北,,0,,,,1,1,4,10,10
4,朝阳东坝平房路汇景苑三区,116.53160704605247,39.95284535151047,49813,399,80.1,2,1,1,南北,9.0,0,满五年,高层,29.0,1,2,6,10,10
5,海淀西北旺黑龙潭路保利西山林语,116.21121302611368,40.03408038425012,62507,563,90.07,2,1,2,南北,14.0,0,,高层,9.0,0,0,0,0,1
6,丰台长辛店万兴路2号园博嘉园(东区),116.17882058140714,39.858347373640676,50566,438,86.62,2,1,1,南北,10.0,0,,高层,18.0,0,1,1,8,9
7,丰台草桥北甲地路2号玺萌鹏苑,116.35619518995311,39.85113803707826,55508,515,92.78,2,2,1,东,21.0,1,,低层,28.0,2,0,7,10,10
8,海淀五棵松田村路永金里住宅小区,116.2656064687054,39.91933990804786,64607,575,89,2,1,1,东西,28.0,1,满五年,中层,6.0,1,2,10,10,10
9,大兴亦庄泰河一街南海家园七里,116.48821750371513,39.75594588014628,44624,415,93,3,2,1,南北,9.0,0,满五年,低层,18.0,0,2,4,10,10
10,朝阳望京利泽中二路望京花园西区,116.46415370762271,40.006224050473854,71715,610,85.06,2,2,1,西南,26.0,1,,,5.0,2,4,10,10,10
11,朝阳高碑店建国路29号兴隆家园(北区),116.51814755333316,39.913647172307435,59404,440,74.07,2,1,1,东南,23.0,1,满五年,高层,24.0,1,1,10,10,10
12,海淀永定路玉泉路玉海园二里,116.2481770058286,39.91877793977678,61398,536,87.3,2,1,1,西南,27.0,1,满五年,低层,10.0,1,5,10,10,10
13,丰台草桥北甲地路6号玺萌丽苑,116.35737876549298,39.84848932289443,58377,515,88.22,2,1,1,西,22.0,1,满五年,中层,28.0,2,0,7,10,10
14,朝阳望京望京北路39号澳洲康都,116.45459662985314,40.01213178422903,80785,700,86.65,2,2,1,东北,17.0,1,,中层,24.0,0,4,1,5,4
