ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,天府新区华阳万东路80号附1号滨江和城,104.08183492908422,30.49083588971344,18584,170.0,91.48,3,7,南北,6,1,满二年,低层,32
2,"高新区世纪城世纪城路996号,天府大道中段177号天鹅湖北苑",104.06868177018376,30.55935748139332,15935,145.0,91.0,3,7,南北,6,1,满五年,高层,12
3,天府新区南湖南湖大道333号远大中央公园,104.04682782276916,30.493299218922427,18036,175.0,97.03,3,7,东,6,0,,高层,32
4,新都大丰花都大道789号嘉美华凯(一二期),104.057886804986,30.762774433094137,12030,118.0,98.09,3,6,北,12,1,满五年,低层,18
5,新都大丰金源街18号汇融广场B区,104.05909319324525,30.767942927751225,12398,113.2,91.31,3,6,东,8,1,满五年,中层,42
6,锦江三圣乡栀子街1097号人居东城花汇,104.15047235985745,30.59080559162815,19348,178.0,92.0,3,6,南,4,1,,中层,26
7,武侯机投镇武青北路76号上道西城,103.97637022988094,30.663480928253097,13449,129.0,95.92,3,7,南北,16,1,,高层,11
8,"金牛金牛周边大天路,天龙南一路222号保利公园里(一期)",104.08860227457112,30.76895640365898,16184,138.0,85.27,3,6,北,8,1,满二年,低层,29
9,锦江攀成钢岷江路1668号锦东庭园,104.1206446614518,30.6355223662884,20203,179.8,89.0,3,6,南北,9,1,满二年,中层,32
10,锦江川师水杉街166号蓝谷地五期,104.12463596052793,30.60443061250549,15114,133.0,88.0,3,5,南,12,1,满五年,中层,31
11,天府新区华阳广都上街138号南阳盛世,104.06036006226844,30.50578691362119,16643,127.0,76.31,2,5,南北,13,1,满二年,高层,33
12,新都三河厚诚路123号莱茵北郡,104.1461109590472,30.78245924080652,11965,113.0,94.45,3,7,南,9,1,,高层,18
13,成华龙潭寺湖景四路2号中国铁建北湖国际城二期,104.158255780805,30.709554571724677,14291,116.0,81.17,3,5,南,6,0,,低层,35
14,新都大丰方元路633号兴想花园,104.06059499420142,30.779106209837217,13117,116.0,88.44,3,6,南,12,1,满五年,高层,25
15,"天府新区南湖绿野路三段608号,牧华路三段2533号瑞升橡树林华府",103.90699853214008,30.53404290718137,16871,145.0,85.95,3,7,南,9,1,满二年,高层,34
16,"金牛国宾金瑞路118号,金耀路47号中环西岸观邸",104.00938231961854,30.70953349588537,17412,162.0,93.04,3,7,南北,11,1,满五年,中层,32
17,金牛金牛周边天龙南三路316号碧桂园城市花园,104.09338751256992,30.769295196370493,14470,135.0,93.3,3,7,西,7,1,满二年,高层,31
18,金牛金牛周边天龙南一路118号北星城,104.08806222759374,30.772165283224805,14266,138.0,96.74,4,8,东,5,1,满二年,低层,32
19,锦江春熙路大科甲巷3号春禧公寓,104.07656848735624,30.656876879317835,10834,130.0,120.0,3,7,南北,2,1,满二年,中层,22
20,"金牛国宾蜀西路66号,金水巷79号,金水三街699号龙樾熙城",103.98004239982914,30.727113666517948,18413,170.0,92.33,3,7,南北,6,1,满五年,中层,15
21,双流蛟龙港康家宴路二段188号万科第五城四期,103.92457224152224,30.63038062340724,14340,130.0,90.66,3,7,南,8,1,,低层,24
22,龙泉驿政务中心桃都大道888号新城吾悦广场,104.23806626187444,30.58008919971233,13881,122.0,87.89,3,7,北,8,1,,低层,34
23,天府新区华阳和平路876号海伦印象,104.04568895608443,30.52597332147057,18495,172.0,93.0,3,6,西南,6,1,满二年,高层,32
24,武侯机投镇武青南路10号华都星公馆(一期),103.97834858196867,30.64428883889283,11220,138.0,123.0,4,8,南北,18,1,满五年,中层,7
25,新都大丰华美东街132号汇融悉尼湾库吉岛,104.06219765342986,30.76806074348311,12461,118.0,94.7,3,6,北,12,1,满五年,低层,26
26,成华龙潭寺华冠路4号秀林苑西区,104.16795315082464,30.700050068450626,10120,85.0,84.0,3,5,南,11,0,满五年,高层,18
27,金牛抚琴小区营通街53号颐园(金牛),104.03191297747016,30.682920263635697,12701,132.8,104.56,3,7,南,26,1,满五年,中层,7
28,新都大丰方元路222号开元国际社区,104.06327072515482,30.77289762179169,13357,122.9,92.0,3,6,东,11,1,,中层,33
29,成华动物园东丽街51号首创光和城(二期),104.11276509248776,30.711369273825515,16915,133.0,78.63,3,6,北,7,0,,高层,33
30,"新都石油大学天香南路189号,育英路366号北欧印象",104.18086599604952,30.814822751890038,10973,120.0,109.36,4,8,南北,9,1,满五年,高层,32
31,武侯外双楠顺和横街29号中华名园(三期D区),103.99806745002816,30.635836666819017,16539,215.0,130.0,3,7,西北,12,0,,中层,16
32,成华动物园双荆路2号招商雍华府(2期),104.09624305054464,30.712127211317743,19120,178.0,93.1,3,6,南北,14,1,,中层,20
33,温江光华大道政通东路369号金恒德时代金悦,103.86103161035308,30.67830504723648,15633,136.0,87.0,3,6,东南,6,1,满五年,中层,31
34,"新都大丰甫家坝路358号,甫家一路66号保利大都汇雅汇",104.06892988618506,30.75745389375938,14057,133.0,94.62,3,7,南北,3,0,,中层,33
35,"锦江春熙路总府街15号,华兴正街9号王府井商务公寓",104.07726903298858,30.66145747984148,8115,78.0,96.12,3,7,南北,4,0,,中层,29
