ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,沙坪坝大学城大学城南路11号富力城天禧,106.31253900076734,29.599294467598448,10708,106,99,3,2,2,南北,5.0,1,满二年,中层,33.0,3,3,10,8,10
2,渝北照母山恒康路9号恒大照母山山水城,106.5139834766331,29.640267463678562,13172,117.4,89.13,3,2,1,南,4.0,0,,中层,32.0,0,3,3,10,10
3,渝北大竹林恒山西路1号新江与城悠澜,106.46522916865983,29.637916649089618,14666,143,97.51,3,2,2,西南,5.0,0,,低层,31.0,0,1,4,1,10
4,南岸弹子石弹广路保利麓谷林语,106.6192732210603,29.594787085866734,11539,105,91,3,2,2,南,,0,,,,0,0,6,10,10
5,南岸弹子石福民路39号国际社区海悦府,106.58925998216499,29.597707795242805,12756,125,98,3,2,2,东南,11.0,0,,低层,32.0,0,3,5,8,10
6,渝中大坪长江二路33号和泓江山国际,106.52310046512596,29.54405514814719,13847,126,91,3,2,1,南,7.0,1,,高层,33.0,5,0,10,10,10
7,九龙坡石桥铺石小路195号渝景新天地,106.47482133398911,29.53232579385422,11579,110,95,3,2,1,南北,14.0,1,,低层,33.0,2,2,6,10,10
8,南岸铜元局铜苑路98号金辉城春上南滨,106.54077519734047,29.53773166370052,12073,113,93.6,3,2,1,东,8.0,1,,低层,33.0,1,2,10,10,10
9,渝北龙头寺昆仑大道29号渝铁西苑(西区),106.5404063074261,29.610900054439828,10588,106,100.12,3,2,1,西南,10.0,1,,中层,33.0,4,1,9,10,10
10,渝北农业园区金果路湖钧桥龙湖青云阙,106.56203329714899,29.647211722160897,13979,130,93,3,2,2,南,,0,,,,1,2,10,10,10
11,渝中大坪大坪正街160号万科锦程,106.50166234736233,29.541187550834284,14816,105,70.87,2,1,1,南北,11.0,0,,高层,32.0,2,1,10,10,10
12,九龙坡石坪桥石杨路266号春风与湖,106.48440959253739,29.51885823805933,12374,147,118.8,4,2,2,南,9.0,1,,高层,33.0,1,2,10,10,10
13,沙坪坝三峡广场杨梨路41号融汇温泉城翰林学府(新房),106.43427716572883,29.550953339876035,13618,128,94,3,2,1,南,,0,,,,0,0,0,8,10
14,渝北鸳鸯湖津路121号融科金湖湾,106.55290986118456,29.658196076511228,12660,123,97.16,3,2,2,南北,9.0,1,,高层,33.0,0,4,8,10,10
15,渝北礼嘉礼慈路6号御璟湖山璟樾,106.47647399483724,29.678533175696487,11021,108,98,3,2,2,南北,6.0,0,,低层,33.0,1,0,0,8,7
16,九龙坡陈家坪石美路保利中交云上雅集,106.46563872104218,29.531397820943702,16025,159,99.22,3,2,2,南,,0,,,,2,4,10,10,10
17,渝北照母山湖红路56号恒大世纪城,106.51764719077265,29.660956041492106,13221,125,94.55,3,2,1,南,5.0,0,满二年,中层,32.0,0,2,2,10,10
18,南岸辅仁路辅仁路8号康德国会山,106.57479861216282,29.53022971402232,10809,106,98.07,3,2,2,南,16.0,1,满二年,低层,32.0,4,3,10,10,10
19,渝北冉家坝锦橙路21号龙湖水晶郦城禧苑,106.49122816273595,29.606772819150756,11733,103,87.79,2,2,1,西北,16.0,1,,高层,31.0,1,2,5,10,10
20,渝北空港新城兰馨大道12号盛景天下,106.60352487234513,29.705268296793687,11173,108.8,97.38,3,2,2,南北,15.0,0,,低层,30.0,1,0,7,10,10
21,巴南融汇融汇大道与汇安路交叉口东北300米融汇半岛克拉公馆,106.51239500993984,29.471761076765397,9546,105,110,4,2,2,南,,0,,,,0,1,8,10,10
22,南岸弹子石福民路30号蓝光COCO时代(三期),106.5966316353823,29.59506485979368,12805,105,82,3,2,1,南,9.0,1,,高层,28.0,1,3,10,10,10
23,南岸弹子石涂山路466号聚丰江山汇,106.59535146221354,29.57338206257567,11660,109,93.49,3,2,1,南北,12.0,1,,中层,32.0,3,4,3,10,10
24,"沙坪坝大学城大学城南二路,大学城中路2号协信城立方玺院",106.3059114256995,29.583451896918557,16706,142,85,4,2,2,北,14.0,0,满二年,高层,7.0,2,0,10,10,10
25,九龙坡二郎石新路与石美路交叉口东侧200米（5号线巴山站旁）招商1872,106.46232018253625,29.52110656626364,15675,129,82.3,3,2,1,南,,0,,,,1,2,10,10,10
26,渝北礼嘉礼慈路13号御璟湖山璟园,106.47796493233021,29.678821835046605,10986,112,101.95,3,2,2,南北,3.0,1,,高层,23.0,1,0,0,8,7
27,南岸学府大道二塘路66号保利观塘香榭,106.56223100097914,29.494054607255897,12644,110,87,3,2,2,东南,7.0,0,,中层,33.0,0,0,3,10,10
28,渝北鸳鸯金渝大道81号复地新城就,106.55807902706727,29.65442356621736,11422,110,96.31,3,2,2,东北,11.0,1,满五年,高层,34.0,1,5,8,10,10
29,南岸南坪轨道三号线/环线四公里旁中国铁建元时代,106.63622222659605,29.486519586261462,14546,144,99,3,2,2,南,,0,,,,0,2,8,10,10
30,大渡口跳磴景灿路132号金科集美阳光(二期),106.43621832018889,29.408223122352364,7340,80,109,4,2,2,南北,4.0,1,,高层,9.0,1,0,4,8,10
31,沙坪坝大学城学博支路2号龙湖香港置地学樘府(二期),106.2863908082853,29.602748446367297,13405,126,94,3,2,2,南北,2.0,1,,高层,17.0,0,0,9,4,10
32,南岸铜元局铜元局街道芭蕉湾社区图强村408号中建壹品南滨星光城,106.54284631245994,29.53720583928328,17636,176,99.8,3,2,2,南,,0,,,,1,2,10,10,10
33,渝北龙头寺渝鲁大道188号庆业九寨印象,106.55692750502546,29.592603182705876,12858,108,84,2,2,1,东,8.0,1,,中层,34.0,1,3,10,10,10
34,巴南李家沱渝南大道117号奥园玺樾东方(新房),106.5485252649318,29.44163205160635,10221,139,136,4,2,2,南,,0,,,,1,3,10,10,10
35,"沙坪坝杨公桥汇泉路3,7号融汇温泉城锦华里",106.43463084320565,29.547025983116388,11200,108,96.43,3,2,1,南北,11.0,0,,中层,33.0,0,0,2,7,10
36,沙坪坝大学城圣智街331号翰粼天辰,106.27952495701543,29.599206809007125,11833,98,82.82,3,2,2,南北,3.0,1,满二年,低层,7.0,0,0,0,0,1
37,渝北礼嘉光华路82号礼悦江山,106.11924557298599,29.06419115117242,12493,132,105.66,3,2,2,南北,4.0,0,,低层,8.0,0,0,5,10,10
38,渝北照母山金山大道28号万科城(一期),106.51836518241461,29.64475807169806,11355,124.9,110,3,2,1,南北,7.0,1,,高层,32.0,0,0,4,10,10
39,巴南龙洲湾巴滨路1号合谊理想城,106.52915981309866,29.408835156294643,10506,104,99,3,2,2,南,,0,,,,0,0,4,9,0
40,九龙坡谢家湾袁家岗158号金茂珑悦(北区),106.50940995795534,29.527204366652718,14997,120,80.02,2,1,1,西,8.0,1,,中层,20.0,2,1,10,10,10
41,南岸弹子石福民路38号国际社区观园(1期),106.59136603299638,29.59920542673082,13615,113,83,3,2,1,南北,13.0,1,,中层,33.0,0,2,6,8,10
42,九龙坡杨家坪新华七村202号新华春天,106.51584260675958,29.500997075562655,9265,90,97.14,3,2,1,南北,8.0,1,,高层,31.0,1,3,5,10,10
43,江北观音桥三钢一路与建新南路交叉口东南150米煌华晶萃城峯悦,106.5329777555221,29.57264552549562,18983,128,67.43,2,2,1,南,,0,,,,2,5,10,10,10
44,渝北大竹林礼洁路188号远洋九公子,106.48131506717883,29.66153348643897,11610,118,101.64,3,2,2,西北,8.0,1,,低层,18.0,1,0,0,2,10
