ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,busAround,schoolAround,shopping_mallAround
1,雨花体育新城劳动东路821号明昇壹城,113.04569181499468,28.164135350179137,13767,125,90.8,3,2,1,南,6.0,0,,高层,18.0,2,1,10,10,10
2,岳麓梅溪湖南近湖七路32号卓越浅水湾,112.88026936162778,28.17907538234886,13034,122.8,94.22,3,2,1,南北,5.0,1,满五年,低层,33.0,1,0,10,3,3
3,岳麓保利麓谷林语桐梓坡西路408号保利麓谷林语,112.87219986837309,28.226723047091916,9653,129,133.64,4,2,2,南北,11.0,1,满五年,高层,33.0,2,0,10,9,10
4,岳麓金星北路西二环与华安路交汇处龙湖舜山府,112.91979230320408,28.249971210668896,15487,175,113,3,2,2,南,,0,,,,0,0,0,4,10
5,岳麓梅溪湖北东方红路288号旭辉御府,112.86381773264083,28.193063602033256,11967,115,96.1,3,2,1,南,11.0,0,,中层,32.0,4,0,10,8,10
6,"岳麓市政府杜鹃路,近杜容路盛世耀凯",112.93343582500219,28.23176683571211,10063,129.8,129,3,2,2,南北,5.0,0,,中层,27.0,1,0,10,10,10
7,天心省政府黑石铺路北辰中央公园(CDEF区),112.96765137553821,28.103854342604,9881,128,129.55,4,2,2,南,10.0,0,,低层,16.0,0,0,10,2,10
8,岳麓观沙岭北二环与金星路交汇处东北角万科森林公园,112.93280872848689,28.264433111345244,14000,161,115,3,2,2,南,,0,,,,0,0,7,2,10
9,天心省政府新韶西路288号鑫远御文台,112.96556965581753,28.125776117550004,10717,142,132.5,4,2,2,南北,8.0,0,,高层,29.0,0,7,10,8,10
10,雨花体育新城长沙大道789号阳光城尚东湾,113.05398726865012,28.176999852156307,11141,113,101.43,3,2,1,南北,5.0,0,,低层,44.0,1,1,10,10,10
11,雨花井湾子湘府东路一段986号远洋红星长沙天铂,113.04615595761818,28.126131419948354,10286,108,105,3,2,2,南,,0,,,,1,0,10,7,10
12,岳麓洋湖湿地公园许家洲路106号兰亭湾畔(一期),112.94023582175653,28.138626184012907,12578,155,123.24,4,2,2,南,7.0,1,,低层,28.0,0,1,10,10,10
13,芙蓉汽车东站桐西路辉煌国际城(二期),113.04119147417664,28.20783831739007,11611,148,127.47,4,2,2,南北,6.0,1,满五年,中层,30.0,4,2,10,10,10
14,岳麓金星北路金星路与长望路交会处越秀栖山悦府,112.92399643068836,28.269869699198008,13493,170,126,4,2,2,南,,0,,,,0,1,0,1,7
