ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,白云广花夏茅向西工业大街首开保利云湖壹号,113.24484610216038,23.22958270447891,29893,280.0,93.67,3,7,东南,3.0,0,,中层,26.0
2,白云金沙洲金沙洲路中粮万科金域蓝湾,113.20672951871876,23.15954175610466,32872,280.0,85.18,3,6,东,13.0,0,,高层,25.0
3,番禺万博迎宾大道广地花园,113.331770397917,23.022057447231,24720,220.0,89.0,3,7,南北,9.0,1,,中层,17.0
4,黄埔鱼珠中山大道387号（地铁5/13号线鱼珠站）中洲紫轩,113.37205229921804,23.12957872347391,50000,395.0,79.0,3,6,南,,0,,,
5,白云黄边尖彭路金碧雅苑,113.286490919643,23.225515276482334,37856,370.0,97.74,3,7,南,18.0,1,满五年,中层,18.0
6,番禺万博兴南大道368号万科欧泊,113.34804837503218,23.014538411685805,37971,360.0,94.81,3,7,南北,8.0,0,,中层,35.0
7,天河岗顶石牌西路111-119号天晟明苑,113.3329463184819,23.131288544172424,46297,375.0,81.0,2,5,西北,20.0,1,满五年,低层,28.0
8,番禺板桥万博·余荫山房北侧·板桥地铁站星河·盛世锦城,113.388815369094,23.017416550280245,35051,347.0,99.0,3,7,东,,0,,,
9,越秀西门口朝天路朝天路大院,113.25524264855,23.127453250727537,35811,265.0,74.0,3,6,南北,24.0,1,满五年,低层,9.0
10,海珠昌岗宝岗大道928号翠城花园,113.26563944484644,23.085747650174746,51429,468.0,91.0,3,6,南北,18.0,0,,中层,29.0
11,番禺万博南村镇番禺大道北27号广地花园·观灏,113.3324790779998,23.02163724871439,35980,349.0,97.0,3,7,南,,0,,,
12,番禺石楼东金枫路智联汽车小镇,113.4971196775131,23.020367920484944,18737,178.0,95.0,3,7,南北,4.0,0,,中层,32.0
13,黄埔科学城开达路保利罗兰国际,113.48449052813616,23.17498563558565,34706,295.0,85.0,3,6,南,6.0,1,满五年,低层,32.0
14,越秀北京路越华路越华路小区,113.2644748902076,23.131525734915463,41960,358.0,85.32,3,6,西南,29.0,1,满五年,低层,9.0
15,番禺新造大学城二期 暨南大学北侧越秀·大学·星汇城,113.40486101500282,23.02384030750914,43182,380.0,88.0,2,6,南,,0,,,
16,越秀东湖大沙头三马路东山水恋,113.27951231564984,23.11939391380208,83125,798.0,96.0,3,7,南北,19.0,1,,高层,32.0
17,花都镜湖大道迎宾大道3号合和新城,113.25062388110942,23.374340611146582,15813,146.0,92.33,3,7,南,8.0,1,,中层,21.0
18,黄埔香雪开源大道22号合生中央城,113.4946886248714,23.15551619935132,33021,317.0,96.0,2,6,南,,0,,,
19,黄埔文冲广新路31号万科城市之光,113.45817126793304,23.10265642741714,26380,230.0,87.19,3,7,南,3.0,1,满二年,中层,33.0
20,增城永和新新大道中合景花漫里,113.59418973576769,23.197327721078267,9425,81.0,85.95,3,6,南北,9.0,0,,中层,24.0
21,白云金沙洲彩滨北路保利西海岸星海花园,113.20854090272692,23.1714045001276,28770,278.0,96.63,3,7,东南,8.0,1,,中层,27.0
22,黄埔萝岗新桥路与开泰大道交叉口北220米保利罗兰国际(新房),113.48449052813616,23.17498563558565,40000,392.0,98.0,3,7,南,,0,,,
23,越秀西门口杏花巷47号杏花巷社区,113.25286426907384,23.12505291766169,26389,190.0,72.0,3,7,南北,19.0,1,满五年,中层,9.0
24,白云金沙洲彩滨北路保利西海岸江岸花园,113.20286017025305,23.17357777273277,26969,260.0,96.41,3,7,南,9.0,1,,低层,33.0
25,荔湾广钢新城荷景路5号珠江·广钢花城,113.247923263158,23.05834570249873,37314,250.0,67.0,2,5,北,,0,,,
26,荔湾文昌南路文昌南路文昌南路小区,113.2391171261288,23.118183048366173,24103,188.0,78.0,3,8,南北,14.0,1,满五年,,3.0
27,广州周边佛山桂澜北路28号万达广场,113.15178387264169,23.06597612660686,7749,38.0,49.04,2,4,南,7.0,1,,中层,27.0
28,白云同和蟾蜍石北路37号时代花生(白云),113.24954376145404,23.17913677352214,41792,350.0,83.75,3,5,南,10.0,1,满五年,低层,32.0
29,海珠赤岗新港中路489号广发新村,113.32493410504836,23.098002706425955,34798,328.0,94.26,3,6,东南,26.0,1,满五年,中层,9.0
30,黄埔萝岗广汕公路黄陂地铁站B出口保利翔龙天汇,113.43326339735953,23.18938839553775,47475,470.0,99.0,3,7,南,,0,,,
