ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,"萧山钱江世纪城振宁路,近金鸡路万科大家世纪之光",120.25467625938988,30.217436853880837,40383,325,80.48,3,2,1,南,7.0,1,满二年,低层,17.0,4,1,4,10,10
2,上城九堡客运站杭海路合生创展名邸,120.25954030788034,30.314168435004433,37129,330,88.88,3,2,1,南,1.0,0,,中层,15.0,1,1,6,10,10
3,"余杭未来科技城溪望路,近良睦路合景映月台(公寓住宅)",120.00935115324891,30.27569763924051,33400,288,86.23,3,2,1,南北,6.0,1,满五年,低层,7.0,2,4,1,10,10
4,上城笕桥同协路498号杰立潮正府,120.20727474635079,30.327247731140716,35052,340,97,3,2,2,南,,0,,,,1,2,2,10,10
5,"萧山开发区建设一路,近宁税路融创望海潮",120.27470070963409,30.196521991716672,32521,280,86.1,3,2,2,南,4.0,1,满二年,低层,18.0,1,1,10,10,10
6,萧山北干西陵路30号万科金辰之光,120.2188664312684,30.17985383087423,35033,310,88.49,3,2,2,南,7.0,1,满五年,低层,31.0,2,0,0,10,10
7,"西湖之江度假区珊瑚沙路,近碧波路华润新鸿基之江九里(公寓住宅)",120.08948824790508,30.16806085630205,37791,338,89.44,2,2,1,南,9.0,1,满五年,低层,15.0,2,0,10,10,10
8,拱墅东新新北街与永福桥路交叉口杭州新天地,120.17750241489419,30.327207928859806,23256,300,129,3,2,2,南,,0,,,,3,3,8,10,10
9,"滨江长河滨康路,近聚才路保利天汇",120.19457280559602,30.18480503194695,54495,525,96.34,3,2,2,南北,3.0,1,,高层,32.0,0,0,10,10,10
10,上城九堡客运站仁爱路219号金雅苑,120.27775955278466,30.309650828922095,23826,210,88.14,3,2,1,南北,15.0,0,,高层,18.0,2,1,8,10,10
11,"滨江区政府滨盛路,近江陵路中海寰宇天下C区",120.20952088047038,30.218086823219235,47641,425,89.21,3,2,1,南北,10.0,1,满五年,高层,34.0,0,3,8,10,10
12,余杭未来科技城水城北路欧美金融城西溪丽晶,119.99978769758859,30.28381495536687,41197,365,88.6,3,2,1,南,8.0,1,,高层,33.0,2,2,4,10,10
13,临平星桥东至星源路西侧绿地，南至星隆路，西至打铁桥港防护绿化地，北至星灵路。杭颂星澜府,120.24624192305444,30.40546730230698,25214,295,117,4,2,2,南,,0,,,,0,1,1,10,10
14,西湖西湖三墩振华路1号首开国风美域,120.08726868230781,30.319356656380155,35521,315,88.68,3,2,2,南,8.0,1,满五年,高层,30.0,0,0,10,10,10
15,"上城九堡科技园九环路,近三胜街中南春溪集",120.27373217336043,30.33829983766811,29756,265,89.06,3,2,1,南,2.0,0,,中层,16.0,0,0,3,10,10
16,上城九堡科技园学林街与松华路交叉口（地铁1号线下沙西站直接距离约400米）杭臻源筑,120.27821862752789,30.31565218658465,37524,394,105,3,2,2,南,,0,,,,3,1,7,10,10
17,钱塘金沙湖天城东路绿城春风金沙,120.31951551879438,30.306095784247773,36685,389,106.04,3,2,2,南,1.0,1,,低层,30.0,0,2,3,10,10
18,余杭未来科技城溪望路阳光城未来悦,119.983118763535,30.27086681274309,41834,376,89.88,3,2,2,南,2.0,1,满二年,低层,16.0,3,0,6,10,10
19,余杭老余杭凤新路凤玺云著府,119.95532635935778,30.260374439608164,28272,269,95.15,3,2,2,南,2.0,1,,低层,17.0,2,0,10,10,10
20,拱墅康桥金昌路与北秀街交叉口滨江大家招商锦翠金宸府,120.15320119087578,30.352370454873167,28480,356,125,4,2,2,南,,0,,,,1,1,2,10,10
21,"上城丁桥华鹤街,近长睦路城发云锦城",120.2266357294417,30.374384524789637,24876,215,86.43,3,2,1,南,10.0,1,满二年,高层,23.0,0,0,8,10,10
22,余杭中泰中泰路清水湾山水苑(公寓住宅),119.91752331872864,30.24099421718865,17177,155,90.24,3,2,1,南,16.0,0,,中层,11.0,0,0,2,7,6
23,"萧山新街建设四路,近枫香路郡望府",120.33177895302302,30.199239239520182,28053,255,90.9,3,2,2,南北,7.0,1,满五年,中层,27.0,1,0,6,9,10
24,钱塘金沙湖金乔街广泰路交汇处广宇锦上云澜,120.32328987204079,30.32882401134875,27521,333,121,4,2,2,南,,0,,,,0,0,2,10,10
25,上城丁桥华鹤路656号保利罗兰香谷,120.23359015312684,30.37431857484515,24869,222,89.27,3,2,2,南,9.0,1,满五年,低层,17.0,0,1,10,10,10
26,"上城丁桥天都路,近华鹤街金地格林格林",120.23574833667055,30.37339575373399,23802,205,86.13,3,2,1,南,9.0,1,满五年,中层,16.0,1,1,10,10,10
27,"余杭未来科技城文胜路,近电子路合景叠彩园(公寓住宅)",120.02387105064425,30.276411586956595,36962,325,87.93,3,2,2,南,8.0,1,满五年,高层,7.0,1,2,9,10,10
28,钱塘金沙湖1号大街与12号大街交汇处（银泰百货以东直线距离约1km）兴耀月琉璃,120.05122332351274,30.242860590068844,26000,312,120,4,2,2,南,,0,,,,1,0,5,10,10
29,滨江长河天官东路90号江南铭庭,120.19720395435108,30.174597638958417,26556,230,86.61,2,2,1,南,12.0,1,满五年,中层,27.0,0,2,10,10,10
30,余杭老余杭狮山路388号东田小城之春,119.94682869648878,30.26916134868205,17412,155,89.02,2,2,1,南,17.0,0,,低层,6.0,1,0,10,10,10
31,钱塘下沙江滨学正街269号广宇锦上文澜,120.38333831693635,30.307864467572383,28355,254,89.58,3,2,2,南,1.0,1,,高层,26.0,1,0,10,10,10
32,余杭闲林天目山西路融创金成江南府(公寓住宅),119.96095732832777,30.244992609138365,23034,207,89.87,3,2,2,南,4.0,1,满二年,中层,26.0,0,0,3,10,9
33,"拱墅拱宸桥永庆路,近上塘路蚕花园永庆坊",120.13933578683192,30.331118786274196,18812,175,93.03,3,1,1,南,24.0,1,满五年,低层,22.0,1,4,10,10,10
34,钱塘金沙湖幸福南路252号东海柠檬郡,120.31521341757231,30.29971866037801,26542,238,89.67,3,2,1,南北,13.0,0,满五年,中层,32.0,0,1,1,10,10
35,余杭老余杭禹航路5号景瑞御蓝湾,119.94469920799548,30.254515549258823,19016,168,88.35,3,2,1,南,9.0,1,满五年,低层,14.0,0,0,1,9,10
36,钱塘下沙江滨6号大街和3号大街西北交汇处融创·杭曜之城,120.33862647603902,30.30379725243425,30000,315,105,3,2,2,南,,0,,,,0,0,10,10,10
37,"余杭闲林天目山西路,近闲富路雅居乐国际花园",119.97570122345975,30.23346512865832,19337,172,88.95,3,2,1,南,8.0,0,满五年,高层,34.0,0,0,0,10,10
38,临平星桥星都路广厦天都城滨沁公寓,120.247092733776,30.39037078210631,16583,148,89.25,3,2,1,南,5.0,1,,中层,24.0,1,0,3,10,10
39,余杭闲林云睦街时代天境,119.99877155224958,30.23261404808292,19482,190,97.53,3,2,2,南,1.0,0,,低层,18.0,0,0,5,9,10
