ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,栖霞仙林湖纬地路28号金地湖城艺境,118.97524615589626,32.12932098905302,21366,205.0,95.95,3,6,南北,9.0,1,满五年,低层,27.0
2,浦口江浦街道望江路2号正荣润锦城,118.66755260463135,32.072618349242894,22874,199.0,87.0,3,6,南,7.0,0,满二年,高层,33.0
3,浦口高新区侨康路16号新城花漾紫郡,118.70899515447329,32.18557674999096,21478,205.0,95.45,4,7,南北,6.0,1,满五年,高层,18.0
4,江宁科学园金东街与上元南路交汇处中天云来,118.85392578262956,31.95106918605377,28000,322.0,115.0,3,7,南,,0,,,
5,栖霞迈皋桥来仪街2号瑞福城凤仪东园,118.84550107168742,32.117621310974414,18069,159.0,88.0,2,5,南北,11.0,1,满五年,中层,26.0
6,鼓楼龙江郑和南路8号恒盛金陵湾,118.7277418334022,32.071144891481275,54481,439.0,80.58,2,4,南,9.0,0,,低层,51.0
7,栖霞燕子矶韩桥路8号保利国际社区(一期),118.8220665841808,32.141973645474444,24176,220.0,91.0,3,6,南,4.0,0,满二年,低层,33.0
8,江宁将军大道江宁开发区明城大道与秦淮路交汇处铂萃云湾,118.80250284028308,31.957350829645705,36316,345.0,95.0,3,7,南,,0,,,
9,玄武月苑兴贤路兴贤佳园修贤苑,118.83080106264671,32.10538284780351,19278,160.0,83.0,3,6,南,18.0,1,满五年,中层,6.0
10,雨花台铁心桥福园路云望府,118.7432331161532,31.949684637915603,27632,268.0,96.99,3,6,南北,3.0,0,,高层,33.0
11,栖霞迈皋桥怡静路1号招商1872依云华府,118.8273872442824,32.124825233124746,25662,225.0,87.68,3,6,南,7.0,1,,中层,31.0
12,浦口桥北南浦路311号天润城第一街区,118.73404297609974,32.14631239403314,16154,168.0,104.0,3,6,南北,19.0,1,满五年,高层,11.0
13,江宁科学园竹山路与潭园西路交汇处北侧约110米联发华发·嘉和华府,118.84066399293768,31.94225633053353,42774,509.0,119.0,3,7,南,,0,,,
14,栖霞燕子矶徐家村街19号紫御东方(一期),118.82758941003716,32.13991807300243,26310,230.0,87.42,3,5,南,4.0,0,,低层,28.0
15,浦口桥北浦洲路66号威尼斯水城第十九街区,118.75310198118126,32.15472071213135,11234,99.8,88.84,2,5,南,5.0,0,满五年,中层,34.0
16,江宁秣陵双龙大道地铁3号线和风路站北800米紫京四季雅园,118.83430260170375,31.861075447117777,28628,292.0,102.0,3,7,南,,0,,,
17,栖霞迈皋桥迈尧路89号中铁青秀城,118.82524523099242,32.11862629740194,23565,282.0,119.67,3,7,南,8.0,1,满五年,高层,33.0
18,建邺奥南永初路佳兆业城市广场三期,118.70005842579316,31.97048514883813,32540,410.0,126.0,4,8,南北,8.0,1,,低层,31.0
19,栖霞迈皋桥主城燕子矶-滨江-万象天地北侧华发·四季雅筑,118.83221043306465,32.13958225371801,30304,300.0,99.0,3,7,南,,0,,,
20,栖霞仙林湖广志路19号新城香悦澜山,118.96974398692812,32.12861181718302,22180,220.0,99.19,3,6,南北,5.0,1,满二年,中层,27.0
21,鼓楼建宁路建宁路365号龙湖春江紫宸,118.73171830446996,32.09286484199829,31235,248.0,79.4,2,5,南北,7.0,0,,高层,33.0
22,栖霞仙林湖经天路融筑儒林花园,118.96577322864532,32.127692747409554,22901,228.0,99.56,3,7,南北,4.0,1,满二年,中层,18.0
23,栖霞迈皋桥燕园路与寅春西路交叉口保利·燕璟和颂,118.82460115539878,32.12723803481362,32111,350.0,109.0,3,7,南,,0,,,
24,江宁九龙湖清水亭东路9号万科金域蓝湾,118.83220629940834,31.92197902763433,30186,265.0,87.79,3,6,南北,9.0,1,,低层,30.0
25,"鼓楼热河南路建宁路,近热河路证大阅公馆",118.73672375917872,32.09423352936942,35052,340.0,97.0,3,6,南北,5.0,0,满二年,中层,31.0
26,浦口高新区兰新路46号蓝海雅苑(A区),118.7087309217544,32.17862640240136,10809,95.0,87.89,2,5,南,4.0,1,满二年,低层,34.0
27,栖霞燕子矶佘冲街中海燕矶听潮B区,118.82863484757904,32.13758026016216,28317,286.0,101.0,3,7,南,3.0,0,满二年,低层,32.0
28,栖霞尧化门尧佳路95号尧顺佳园(北区),118.88938320323284,32.13100216003976,14483,126.0,87.0,3,6,南北,14.0,1,满五年,中层,6.0
29,玄武卫岗紫金东路2号紫金南苑,118.84298033704492,32.023807162626454,34159,345.0,101.0,2,5,南北,10.0,0,,高层,17.0
30,雨花台铁心桥数字大道以北、迎江路以西保利荷雨瑧悦,118.7630035938079,31.966951276639367,36967,329.0,89.0,3,6,南,,0,,,
31,栖霞仙林湖茂民路万达茂御湖仕家三期,118.98269508242517,32.12460586622409,20625,198.0,96.0,3,6,南,5.0,0,,中层,26.0
32,浦口顶山华府路21号江畔雅居,118.69428556579194,32.09555798167214,13077,153.0,117.0,3,7,南北,1.0,0,,低层,28.0
33,栖霞燕子矶佘冲街6号中海燕矶听潮C区,118.82684511259076,32.13651400059929,28000,280.0,100.0,3,5,南,4.0,0,满二年,高层,33.0
34,雨花台西善桥数字大道与知书路交汇处万科朗拾雨核,118.72690537150594,31.966985846108877,37374,370.0,99.0,3,7,南,,0,,,
35,浦口桥北天华北路6号天润城第十四街区,118.72553335436106,32.1600284604395,12867,90.0,69.95,2,5,南北,12.0,1,满五年,高层,18.0
36,浦口江浦街道河滨路269号中海左岸澜庭,118.6512420510104,32.04803438144648,24553,240.0,97.75,3,6,南,3.0,0,,低层,20.0
37,栖霞迈皋桥华银路19号燕歌园,118.8516294793741,32.11834158539907,15243,135.0,88.57,3,5,南,11.0,1,满五年,高层,33.0
38,浦口顶山吉庆路6号阳光帝景,118.67780940003026,32.105653271520104,14616,190.0,130.0,3,7,南北,10.0,0,,低层,18.0
39,六合大厂葛中北路99号怡景佳园(六合),118.74483977491194,32.247644339355965,11734,110.0,93.75,3,5,南北,8.0,1,,高层,18.0
40,栖霞晓庄和燕路与宜春街交汇处保利·国贸璟上,118.81583871476822,32.12240596437561,32353,330.0,102.0,3,7,南北,,0,,,
