ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,浦东三林永泰路630弄永泰花苑,121.51308192104247,31.140028784567516,49113,415,84.5,2,2,1,南北,18.0,1,满五年,低层,18.0,0,0,10,10,10
2,浦东临港新城安茂路105弄上实望海,121.93104289864475,30.922187021849975,30000,360,120,3,2,2,南,,0,,,,1,3,6,10,10
3,徐汇徐家汇宛平南路255弄1-35号徐家汇花园,121.44232244030894,31.1954867662979,106586,874,82,2,2,1,南北,21.0,1,满五年,中层,7.0,5,1,10,10,10
4,徐汇徐家汇合宝路30号金巢铂瑞阁,121.46021673710167,31.20206098443542,47960,470,98,3,2,2,南,9.0,1,满五年,中层,15.0,3,0,10,10,10
5,闵行七宝吴宝路228弄欣源公寓,121.34483122055015,31.16250740898672,61532,540,87.76,2,2,2,南,29.0,1,,低层,6.0,4,1,7,10,10
6,黄浦打浦桥瑞金二路411号日月光伯爵居,121.46295806593486,31.208855030999416,62286,453,72.73,2,2,1,南,8.0,1,,中层,26.0,3,2,10,10,10
7,"静安大宁俞泾港路11号,平型关路138号,平型关路108弄金赢108创意广场",121.46161422809057,31.2689244656825,37977,355,93.48,3,2,2,南,6.0,1,满五年,低层,16.0,2,1,10,10,10
8,徐汇华泾龙吴路2888弄1-37号盛华景苑,121.45177858857707,31.110334315196894,72165,630,87.3,2,2,1,南北,11.0,0,,中层,32.0,4,0,3,10,10
9,浦东东昌路站东方路8号良丰大厦,121.51464759674558,31.245186541140566,51610,449,87,2,2,1,南北,14.0,1,满五年,中层,29.0,4,3,8,10,10
10,黄浦人民广场南苏州路933号怡水豪庭,121.47018846430451,31.242669799719437,43790,416,95,3,2,2,南北,5.0,1,,高层,22.0,5,4,10,10,10
11,"浦东陆家嘴张杨路158,188,228号汤臣商务中心",121.5074819174971,31.2268329854597,43653,338,77.43,2,2,2,南北,8.0,0,,高层,19.0,1,1,10,10,10
12,浦东北蔡锦绣路3088弄大华锦绣华城十二街区,121.53511317992542,31.18400262760961,71367,658,92.2,2,2,2,南北,18.0,1,满五年,高层,6.0,1,2,10,10,10
13,"浦东金桥长岛路1267弄,长岛路1203弄,长岛路1201弄金桥新村四街坊长岛小区",121.58618283821598,31.265270222447704,63537,540,84.99,3,2,1,南北,27.0,1,,中层,6.0,2,2,10,10,10
14,"浦东世博成山路1035弄,成山路963弄,南码头路1675弄,南码头路1621弄昌七小区",121.51183968384223,31.17695024376912,53856,315,58.49,2,1,1,南,26.0,1,,高层,6.0,2,3,10,10,10
15,青浦青浦工业园区盈秀路366弄、159弄保利建发印象青城,121.10535954783228,31.168982077643133,45960,455,99,3,2,2,南,,0,,,,1,1,5,10,10
16,闵行七宝沪松公路565弄1-114号水清年华花园,121.33844666499846,31.15126161930533,64551,598,92.64,3,2,1,南,15.0,0,,低层,11.0,2,1,1,10,10
17,静安南京西路新闸路831号丽都新贵,121.4553192909928,31.236500272536464,45978,400,87,2,2,3,南,8.0,1,满五年,高层,30.0,2,2,10,10,10
18,闵行七宝七莘路3333弄万科城市花园,121.33855470532168,31.160461126709038,61227,595,97.18,3,2,2,南,30.0,1,,中层,7.0,2,1,1,10,10
19,普陀长征真光路798弄象源丽都,121.37284011702907,31.239771536838862,64211,650,101.23,2,2,1,南北,14.0,1,满五年,低层,14.0,1,1,10,10,10
20,黄浦南京东路广东路429号天赐公寓,121.47871846333219,31.234170123954218,45455,350,77,3,2,1,南北,8.0,1,,高层,19.0,3,10,10,10,10
21,徐汇徐家汇天钥桥路325号嘉汇国际广场,121.43859230473471,31.190172240278674,44378,500,112.67,3,2,2,南北,9.0,1,满五年,中层,20.0,3,1,10,10,10
22,黄浦人民广场九江路619号中福大厦,121.47388235418505,31.23589329457071,35508,490,138,3,2,2,南北,11.0,1,,高层,26.0,5,10,10,10,10
23,"黄浦打浦桥鲁班路168弄,南塘浜路99弄大同花园(南区)",121.46855104752139,31.206873893107357,88074,1200,136.25,3,2,2,南北,24.0,0,,高层,37.0,3,2,10,10,10
24,长宁中山公园宣化路225弄福安小区,121.4213516820986,31.21872117894101,78021,350,44.86,1,1,1,南北,37.0,1,满五年,低层,6.0,2,3,10,10,10
25,奉贤金汇金雄路688弄象屿江湾悦府,121.4849038730076,30.95443089369839,36289,352,97,3,2,2,南,,0,,,,1,0,4,10,2
26,静安芷江西路芷江西路386号五月花都荟贤居,121.453953361062,31.258484479005816,34055,288,84.57,2,2,2,南北,8.0,1,,高层,19.0,2,3,10,10,10
27,徐汇斜土路平江路170弄平江路170弄小区,121.44969636378752,31.2020246824237,68012,435,63.96,3,1,1,南北,29.0,0,,中层,6.0,2,2,10,10,10
28,徐汇徐家汇大木桥路340弄1-2号银海苑,121.45728001178195,31.198514036134057,91173,850,93.23,2,2,1,南北,24.0,1,,中层,24.0,2,2,10,10,10
29,普陀中远两湾城中潭路99弄中远两湾城(二期),121.43402481137515,31.25410125234964,61021,820,134.38,3,2,2,南北,20.0,1,满五年,中层,18.0,1,1,10,10,10
30,闵行浦江浦涛路505弄虹浦新城(南区),121.53186963536973,31.04813488087339,33180,252,75.95,2,2,1,南北,16.0,1,,中层,14.0,2,1,1,10,9
31,"徐汇康健桂平路258弄1-34号,桂平路260弄1-40号,桂平路296弄1-49号桂平小区",121.40377477699292,31.16111699666314,53382,337,63.13,2,2,1,南,30.0,1,满五年,低层,6.0,2,1,8,10,10
32,浦东三林尚博路799弄金橘新苑(北区),121.52031957612412,31.15321385742772,60848,550,90.39,2,2,1,南北,17.0,0,,高层,14.0,4,1,10,10,10
