ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,busAround,schoolAround,shopping_mallAround
1,福田百花百花四路2号长城一花园,114.08494835387822,22.55713888589415,81620,750,91.89,3,2,1,南,35.0,1,满五年,低层,17.0,1,6,10,5,10
2,福田百花百花二路31号南天二花园,114.0886610275981,22.553678440643658,91490,860,94,3,2,1,南北,29.0,1,满五年,低层,19.0,3,8,10,10,10
3,盐田盐田永安路28号东港印象,114.2460013829018,22.594810683256533,43217,380,87.93,3,2,2,南北,14.0,0,,低层,19.0,1,2,10,2,9
4,罗湖布心深圳地铁5号线布心地铁站D约200米出口京基·天韵府,114.13500051689165,22.583259804028174,66000,561,85,2,2,1,东,,0,,,,2,5,10,10,10
5,龙岗龙岗中心城龙河路19号东方明珠城,114.24926447005856,22.721739247916318,30858,292,94.63,3,2,2,北,20.0,1,满五年,高层,32.0,1,4,10,10,10
6,"龙岗龙岗中心城坪西路,近仙人岭路水岸新都(二期)",114.27505924422196,22.752023732155653,29500,276.7,93.78,4,2,2,南,17.0,0,满五年,低层,9.0,0,1,10,9,10
7,龙岗南联龙岗大道(龙岗段)6001号海航国兴城,114.25876025792772,22.726149239312992,31690,275,86.78,3,2,1,南北,8.0,1,满五年,低层,33.0,4,3,10,10,10
8,罗湖翠竹文锦北路2088号洪湖东岸,114.11832553986545,22.571516740762984,54400,524.5,96.41,3,2,2,南北,19.0,0,,高层,27.0,5,5,10,10,10
9,龙华民治上塘路8号金地上塘道(一期),114.01608099083062,22.63677280738197,58069,520,89.55,3,2,2,南北,14.0,1,,高层,24.0,1,2,10,9,10
10,福田福田中心区深南大道2001号嘉麟豪庭,114.06185148447489,22.5416147874132,53800,726.3,135,3,2,2,南北,21.0,0,,中层,29.0,4,3,10,10,10
11,罗湖莲塘罗沙路4089号新世界四季御园,114.15382921479053,22.55698679086382,53711,435,80.99,3,2,1,南,10.0,1,,高层,44.0,3,5,10,10,10
12,宝安坪洲海城路坪洲新村(二三期)二三期,113.85677422548228,22.563960611146634,16739,140.6,84,2,2,1,南,6.0,1,满五年,中层,27.0,0,0,10,0,10
13,坪山坪山横坪公路东津名座,114.3345610535304,22.685440394430564,17470,145,83,3,2,2,南北,11.0,1,满五年,高层,10.0,1,3,10,9,10
14,坪山坪山锦龙大道深业东城国际,114.32394244147588,22.683578683298233,27947,226,80.87,3,2,1,东南,8.0,1,满五年,中层,33.0,0,3,10,3,10
15,龙华观澜观平路金龙豪苑,114.08371603248605,22.70472935531458,14158,126,89,3,2,2,南北,5.0,1,,中层,12.0,1,1,10,2,10
16,龙岗大运沙园路76号阳光天健城,114.21540653227338,22.70405758132265,52200,501.4,96.06,3,2,1,北,14.0,1,满五年,中层,26.0,0,1,10,8,10
17,坪山坑梓丹梓大道3033号丹梓龙庭,114.38993381175453,22.74453269514627,18803,158,84.03,3,2,1,南,11.0,1,满五年,低层,28.0,1,3,10,10,10
18,龙华梅林关口南坪快速路星河丹堤,114.05086815747089,22.594432713013624,72200,635,87.95,3,1,1,南,16.0,1,满二年,高层,32.0,2,0,10,3,10
19,光明光明观光路光明大第,113.93936836191975,22.743109869963458,51900,461.4,88.9,4,2,2,东北,10.0,1,,高层,32.0,0,1,10,1,10
20,福田景田南商报东路15号时代华庭,114.04328900163232,22.546337078187694,61200,599.8,98,3,2,2,西南,24.0,1,满五年,低层,29.0,4,0,10,9,10
21,福田福田中心区福中一路1006号中银花园,114.0611538256018,22.550083330869853,58100,571.6,98.39,3,2,2,东南,27.0,0,,高层,32.0,4,3,10,10,10
22,罗湖翠竹翠竹路1076号翠拥华庭,114.12581558189184,22.565064810373116,55835,500,89.55,3,2,1,南北,21.0,1,满五年,中层,33.0,4,10,10,10,10
23,"宝安新安前进路,近同和路联建君钰府",113.89072205361246,22.582788668014036,67940,580,85.37,3,2,1,南,5.0,1,满五年,中层,33.0,5,3,10,10,10
24,罗湖莲塘国威路33号合正锦园,114.17386324958301,22.56560636232446,51052,510,99.9,3,2,2,南北,19.0,1,满五年,中层,16.0,2,1,10,10,10
25,龙岗龙岗中心城龙平路28号万科翰邻城,114.27247866100923,22.730756258701255,52200,462.2,88.54,4,2,2,南北,13.0,1,满五年,高层,32.0,2,2,10,10,10
26,福田园岭笋岗西路2057号园岭新村,114.09575847780874,22.556463181707603,70130,540,77,3,1,1,南北,40.0,1,满五年,中层,8.0,6,6,10,10,10
27,盐田盐田东海三街8号鹏广达山海四季城,114.24914770941552,22.59522410051639,44667,340,76.12,3,2,1,南,9.0,1,,高层,40.0,1,3,10,8,10
28,福田上梅林林园东路10号笔架山公馆,114.06940899104087,22.571659193764965,69200,587.1,84.84,3,2,1,北,10.0,0,,低层,33.0,5,5,10,10,10
29,罗湖莲塘莲塘街道聚宝路与畔山路交汇处东海富汇豪庭(新房),114.16814472149453,22.570876238379608,71972,511,71,2,2,1,东北,,0,,,,1,0,10,10,10
30,南山后海华明路1号蔚蓝海岸(一期),113.92939849609557,22.510195757487214,95000,760,80,3,2,1,东北,24.0,1,满五年,中层,20.0,5,6,10,10,10
31,福田百花百花三路2号南天一花园,114.08834263123283,22.557250094342976,76636,820,107,3,1,1,南,36.0,1,满五年,中层,17.0,3,6,10,10,10
32,南山南头南山大道3128号中山苑,113.91932754969822,22.54852549149357,18000,108,60,2,1,1,南北,9.0,1,满五年,中层,12.0,1,5,10,10,10
33,南山前海前海路2057号阳光棕榈园,113.9077277573297,22.52879555727541,75020,788,105.04,3,2,1,南,21.0,1,满五年,高层,11.0,5,2,10,3,10
34,福田上梅林中康北路77号颐林雅院,114.05287825556519,22.574605723073567,55435,510,92,3,2,1,南北,16.0,0,,中层,8.0,3,7,10,10,10
35,盐田盐田盐田路24号佳兆业山海苑,114.2490412842934,22.59024109122449,32191,338,105,4,2,2,南北,9.0,1,,低层,33.0,1,2,10,6,8
36,盐田盐田东海大道9号幸福海,114.24582552662497,22.59295606087643,30389,236,77.66,3,2,1,南北,13.0,1,满五年,低层,28.0,1,1,10,4,6
37,宝安西乡西乡大道42号西城丰和,113.87425247889878,22.59031532254035,52852,430,81.36,4,2,1,南北,16.0,1,满五年,高层,33.0,0,0,10,10,10
38,南山前海桃园路288号前海花园,113.90752406438185,22.536737609881925,64894,610,94,3,2,1,南,25.0,1,满五年,高层,11.0,5,1,10,6,10
39,福田百花百花五路34号长安花园,114.08522754633023,22.555306941036935,67999,878,129.12,4,2,2,南,29.0,1,满五年,低层,31.0,2,6,10,10,10
40,福田香蜜湖红荔西路深业中城,114.018102990961,22.543596459818573,186878,3600,192.64,4,2,3,南北,3.0,0,,中层,45.0,2,6,10,10,10
41,福田皇岗裕亨路80号天泽花园,114.06441892721062,22.52052136548808,62682,560,89.34,3,2,2,东北,25.0,0,,高层,12.0,3,5,10,10,10
42,坪山坪山振环路1号京基御景印象四期,114.32643490012018,22.677364671557296,38156,340,89.11,4,2,2,南,8.0,1,满五年,高层,33.0,0,3,10,4,10
43,布吉百鸽笼湖西路佳兆业可园(南区),114.13049382232124,22.60204160289215,42179,299,70.89,2,2,1,东北,18.0,0,,低层,18.0,4,2,10,10,10
44,罗湖莲塘聚宝路101号聚宝华府,114.16385098522245,22.566129879100405,63579,560,88.08,3,2,2,南北,12.0,1,满五年,中层,25.0,1,3,10,5,10
45,罗湖国贸人民南路3003号海丰苑,114.11309675110904,22.54323093305402,40267,260,64.57,3,1,1,南,40.0,1,满五年,高层,28.0,6,7,10,10,10
46,盐田盐田东海四街鹏广达湾区壹号,114.26073220972206,22.58658340558444,41192,560,135.95,3,2,2,南北,2.0,0,,高层,32.0,1,2,10,6,10
47,布吉慢城景芬路1号中海怡瑞山居,114.11789611711377,22.622498685818517,37802,315,83.33,3,2,1,南北,16.0,0,,高层,29.0,3,2,10,10,10
48,南山南头南富苑二街18号南富苑,113.90978595024839,22.55639070984541,14091,155,110,3,2,2,南北,6.0,1,满五年,高层,7.0,2,4,10,10,10
