ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1,南开体育中心秀川路阳光100国际新城东园,117.15123763507478,39.066470013768274,19358,188,97.12,2,2,1,北,20.0,1,,高层,18.0,0,0,10,10,10
2,河北建昌道街迎春道389号诗景颂苑,117.2250546681786,39.16733452434475,19532,176,90.11,2,1,1,南,11.0,1,满五年,高层,24.0,1,2,10,10,10
3,津南双港领世环路红磡领世郡领世达观(三期),117.26017622091733,39.02371928680917,14776,138,93.4,2,2,1,南北,17.0,1,,,5.0,0,0,2,8,10
4,津南海河教育园区海教园南开大学旁（同德路与敬慧路交口）中国铁建·花语天宸,117.34374549379693,38.99347882802405,17817,155,87,3,2,1,南北,,0,,,,1,0,10,8,4
5,河北月牙河街金钟河大街254号世纪祥和家园(河北),117.2354376534592,39.1673394178379,18696,172,92,2,1,1,南北,22.0,1,,中层,6.0,2,2,10,10,10
6,"河北建昌道街建昌道,近群芳路春和仁居",117.22723350315488,39.175517336505735,18572,169,91,2,1,1,南北,16.0,1,满五年,中层,18.0,1,2,10,10,10
7,"滨海新区滨海城区洞庭路,近上海路中梁石榴滨海湾紫宸澜苑",117.67026200110546,39.01223601646775,16565,152,91.76,3,2,1,南北,1.0,1,,低层,26.0,0,3,6,10,10
8,津南海河教育园区宁慧璐和同德路交口（南开大学新校区北门对面）保利·西棠和煦,117.34159357073983,38.994392591937384,20000,178,89,3,2,1,南北,,0,,,,1,0,10,7,4
9,"西青李七庄泰佳道,近瑶琳路松江城",117.16295606219724,39.05577560733338,16864,161,95.47,2,1,1,南,10.0,1,满五年,高层,24.0,1,1,4,8,10
10,津南双港景荔道万翠台南苑,117.27750350591067,39.008477020125426,15645,128,81.82,2,1,1,南北,9.0,0,,低层,11.0,0,1,3,8,10
11,"北辰北仓龙岩道,近辰永东路绿地新里天澜",117.12667600276492,39.21135282026384,19132,178,93.04,3,2,1,南北,1.0,0,满二年,低层,24.0,2,1,6,10,10
12,"南开体育中心外环西路,近红旗南路阳光100国际新城西园",117.14499350677451,39.06837496792745,18750,165,88,2,2,1,西南,15.0,0,满五年,低层,18.0,0,0,10,10,4
13,塘沽解放路街迎宾大道与坨场道交口南直线距离约100米万科滨江都会(新房),117.6584400031933,39.00221436712072,16020,165,103,3,2,1,南北,,0,,,,0,0,5,10,10
14,"武清杨村街振华西道,近泉达路盛世郦园",117.02584890119097,39.38260954680603,15786,149,94.39,2,2,1,南,11.0,0,满五年,中层,22.0,0,0,5,10,10
15,北辰天穆文庆道金隅金成府,117.16371438203612,39.198021735517194,16167,160,98.97,3,1,2,南北,1.0,0,,低层,18.0,2,0,8,10,10
16,"滨海新区中新生态城和意路,近218省道和溪园",117.7353495952596,39.123899082662966,17526,170,97,3,2,1,南北,4.0,0,满二年,高层,18.0,0,4,0,2,1
17,北辰北仓祥辰路泽天下顺泽园,117.11138761876012,39.23054204000693,17363,166,95.61,2,1,1,南,9.0,0,,高层,26.0,0,0,2,2,6
18,"东丽空港经济区中环东路,近东四道复地湖滨广场",117.39563526679646,39.15713489537372,18878,185,98,3,2,1,南北,6.0,0,,中层,11.0,1,0,0,10,10
19,西青张家窝宾水西道延长线南，地铁三号线杨伍庄站旁万科·翡翠大道,117.06713001042384,39.06596391501749,16667,180,108,3,2,2,南,,0,,,,1,0,0,6,2
20,滨海新区中新生态城中天大道贻成学府壹号,117.75972804963631,39.13050837629868,14458,120,83,2,2,1,南北,4.0,1,,高层,28.0,0,6,10,10,10
21,"北辰瑞景街辰景路,近新园路盛庭名景花园",117.09988650855612,39.211255090141826,15544,143,92,2,2,1,南北,5.0,1,满二年,高层,22.0,0,1,3,10,10
22,"塘沽工农村街云山道,近靖海路桃源观邸",117.63152096792507,39.06222553210975,12827,118,92,3,2,1,南北,6.0,0,,中层,31.0,0,0,1,10,10
23,"东丽空港经济区观湖路,近东五道万科新里程花园",117.39938498756753,39.14596035956398,18182,160,88,2,2,1,南北,12.0,0,,高层,14.0,0,0,0,6,3
